example_id,repo_id,base_sha,issue_text,relevant_paths,top10_pred,first_relevant_rank,category,notes,proposed_fix
 
 Same as doing ""git: push to branch name"" (ie, prompting for remote and branch name), which worked just fine.",core/commands/push.py,docs/remotes.md;core/git_mixins/checkout_discard.py;core/git_mixins/remotes.py;core/git_command.py;docs/misc.md;docs/commit.md;docs/branch_mgmt.md;core/commands/revert.py;core/commands/reset.py;core/git_mixins/tags.py,17,,,

aiogram/aiogram/293/292,aiogram/aiogram,6c0f6888fab70379ab4326967f78b8d5a7cdc7f1,"Default parse_mode not working for send_animation method  ## Context
 * Operating System: Linux, MacOS
 * Python Version: 3.7.7
 * aiogram version: 2.6.1
 * aiohttp version: 3.6.2
 * uvloop version (if installed): 0.14.0
 
 ## Expected Behavior
 1. Set default parse mode for bot: Bot(..., parse_mode=ParseMode.HTML)
 2. Call send_animation method without parse_mode param.
 3. Caption parsed with default parse_mode from step 1.
 
 ## Current Behavior
 1. Set default parse mode for bot: Bot(..., parse_mode=ParseMode.HTML)
 2. Call send_animation method without parse_mode param.
 3. Caption NOT parsed",aiogram/bot/bot.py,aiogram/types/animation.py;aiogram/types/video_note.py;aiogram/types/audio.py;aiogram/types/message.py;aiogram/types/video.py;aiogram/types/input_media.py;aiogram/types/voice.py;aiogram/types/sticker.py;aiogram/types/__init__.py;aiogram/types/photo_size.py,31,,,

quantumlib/cirq/5386/5302,quantumlib/cirq,ca487901e5b0c689efc805762c4c4a5db251bc33,"optimize_for_target_gateset OOMs on large CircuitOps  **Description of the issue**
 
 When a circuit containing a large (in this case, 17 qubits & depth 20) CircuitOp is passed to `optimize_for_target_gateset`, it generates an OOM, possibly crashing the device. This circuit is well within the realm of ""easy to simulate"", so we shouldn't be OOMing or should at least warn users that this has a lower threshold than simulation.
 
 **How to reproduce the issue**
 
 ```
 qnum = 17
 qubits = cirq.LineQubit.range(qnum)
 subcircuit = cirq.FrozenCircuit(
     *[
       cirq.CX(qubits[i], qubits[i+1])
       for i in range(0, qnum-1, 2)
     ],
     *[
       cirq.CZ(qubits[i], qubits[i+1])
       for i in range(1, qnum-1, 2)
     ],
 )
 circuit = cirq.Circuit(
     cirq.CircuitOperation(subcircuit).repeat(10),
     cirq.measure(*qubits, key='out')
 )
 print(circuit)
 # OOM: cannot allocate 256GB
 supported_circuit = cirq.optimize_for_target_gateset(
     circuit,
     context=cirq.TransformerCon",cirq-core/cirq/transformers/drop_negligible_operations_test.py;cirq-core/cirq/transformers/drop_negligible_operations.py,cirq-core/cirq/circuits/quil_output_test.py;cirq-core/cirq/circuits/qasm_output_test.py;cirq-core/cirq/circuits/circuit.py;cirq-core/cirq/circuits/circuit_operation_test.py;cirq-core/cirq/circuits/circuit_test.py;cirq-core/cirq/circuits/quil_output.py;cirq-core/cirq/circuits/circuit_dag_test.py;cirq-core/cirq/contrib/acquaintance/shift_test.py;cirq-core/cirq/circuits/circuit_operation.py;cirq-core/cirq/circuits/optimization_pass.py,,,,

elastic/rally/37/36,elastic/rally,bbe18486ca7a87e729353c2f2250f5b365e44ddc,"Download documents.bz2 to file to .tmp and rename  I had a truncated .bz2 file and hit scary exceptions running esrally, I think because I ctrl+c'd once while the download was happening and then when I ran again esrally assumed the file was complete.  We should just download to temp file and rename in the end to prevent this?",rally/track/track.py,rally/utils/io.py;rally/utils/process.py;rally/rally.py;rally/mechanic/supplier.py;rally/mechanic/provisioner.py;rally/mechanic/builder.py;rally/utils/convert.py;TODO.md;rally/utils/progress.py;rally/exceptions.py,20,,,
